nombre,url,url_oai,tipo,divulgador
"Ijelm, International Journal of Educational Leadership and Management",http://hipatiapress.com/hpjournals/index.php/ijelm,http://hipatiapress.com/hpjournals/index.php/ijelm/oai,Revista,Editorial Hipatia
"Ijep, International Journal of Educational Psychology",http://hipatiapress.com/hpjournals/index.php/ijep,http://hipatiapress.com/hpjournals/index.php/ijep/oai,Revista,Editorial Hipatia
"Msc, Masculinidades y Cambio Social",http://hipatiapress.com/hpjournals/index.php/mcs,http://hipatiapress.com/hpjournals/index.php/mcs/oai,Revista,Editorial Hipatia
"Qre, Qualitative Research in Education",http://hipatiapress.com/hpjournals/index.php/qre,http://hipatiapress.com/hpjournals/index.php/qre/oai,Revista,Editorial Hipatia
"Rasp, Research on Ageing and Social Policy",http://hipatiapress.com/hpjournals/index.php/rasp,http://hipatiapress.com/hpjournals/index.php/rasp/oai,Revista,Editorial Hipatia
"Redimat, Journal of Research in Mathematics Education",http://www.hipatiapress.info/hpjournals/index.php/redimat,http://www.hipatiapress.info/hpjournals/index.php/redimat/oai,Revista,Editorial Hipatia
"Remie, Multidisciplinary Journal of Educational Research",http://hipatiapress.com/hpjournals/index.php/remie,http://hipatiapress.com/hpjournals/index.php/remie/oai,Revista,Editorial Hipatia
"Rimcis, International and Multidisciplinary Journal of Social Sciences",http://hipatiapress.com/hpjournals/index.php/rimcis,http://hipatiapress.com/hpjournals/index.php/rimcis/oai,Revista,Editorial Hipatia
"Rise, International Journal of Sociology of Education",http://hipatiapress.com/hpjournals/index.php/rise,http://hipatiapress.com/hpjournals/index.php/rise/oai,Revista,Editorial Hipatia
Test Article,http://www.hipatiapress.info/hpjournals/index.php/test,http://www.hipatiapress.info/hpjournals/index.php/test/oai,Revista,Editorial Hipatia
"Ijrs, International Journal of Romani Studies",http://www.hipatiapress.info/hpjournals/index.php/ijrs,http://www.hipatiapress.info/hpjournals/index.php/ijrs/oai,Revista,Editorial Hipatia
Social Impact of Research,http://www.hipatiapress.info/hpjournals/index.php/sir,http://www.hipatiapress.info/hpjournals/index.php/sir/oai,Revista,Editorial Hipatia
"Demesci, International Journal of Deliberative Mechanisms in Science",http://www.hipatiapress.info/hpjournals/index.php/demesci,http://www.hipatiapress.info/hpjournals/index.php/demesci/oai,Revista,Editorial Hipatia
Revista catalana de dret públic,http://revistes.eapc.gencat.cat/index.php/rcdp,http://revistes.eapc.gencat.cat/index.php/rcdp/oai,Revista,Escuela de Administración Pública de Cataluña (EAPC)
Revista de Llengua i Dret,http://revistes.eapc.gencat.cat/index.php/rld,http://revistes.eapc.gencat.cat/index.php/rld/oai,Revista,Escuela de Administración Pública de Cataluña (EAPC)
"Savia, Repositorio Institucional de la Escuela de Organización Industrial ",http://www.eoi.es/savia,http://repositorio1.eoi.es:54002/escidoc-oaiprovider/,Repositorio Institucional,Escuela de Organización Industrial 
Medicina y Seguridad del Trabajo,http://revistas.isciii.es/revistas.jsp?id=MST#_numeros,http://revista.isciii.es/index.php/mst/oai ,Revista,Escuela Nacional de Medicina del Trabajo (ENMT)
"Revista de Docencia e Investigación,",http://www.uclm.es/varios/revistas/docenciaeinvestigacion/,http://www.uclm.es/profesorado/ricardo/Docencia_e_Investigacion/Docencia_e_Investigacion.htm/oai,Revista,"E.U. Magisterio de Toledo, Universidad de Castilla-La Mancha"
"El Futuro del Pasado, Revista Electrónica de Historia",http://www.elfuturodelpasado.com/elfuturodelpasado/Home.html,http://www.elfuturodelpasado.com/ojs/index.php/index/oai,Revista,Fahren House
"Espacio, Tiempo y Educación, FahrenHouse",http://www.espaciotiempoyeducacion.com,http://www.espaciotiempoyeducacion.com/ojs/index.php/index/oai,Revista,Fahren House
"E-balonmano.com, Revista de Ciencias del Deporte",http://www.e-balonmano.com/ojs/index.php/revista/index,http://www.e-balonmano.com/ojs/index.php/index/oai,Revista,Federación Extremeña de Balonmano
Revista Iberoamericana de Psicología y Salud,http://suips.webs.uvigo.es,http://suips.webs.uvigo.es/index.php/index/oai,Revista,"Federación Internacional de Asociaciones de Psicología (FIAP), Universidad de Vigo"
